Name,Rank,Team,TeamShort,MLBid,Birthday,Height,Weight,HitThrow,Year.Drafted,RoundorIFA,Aquired,RuleV,Position,Highest.Level,Evaluator,OFP,Role,OFPRole,Role.D,Risk,ETA,Tools,FB,CT,CB,SL,CH,SLV,SPL,FK,KN,SCR,PLM,Control,Command,ContCom,Hit,Power,Field,Arm,Run,Phy.D,Overall.D,Hit.D,Pow.D,Field.D,Arm.D,Run.D,FB.D,CT.D,CB.D,SL.D,CH.D,SLV.D,SPL.D,FK.D,KN.D,SCR.D,PLM.D,Mech.D,ContCom.D,Video1,Video2,Video3,Video4,HeadshotURL
Jarred Kelenic,1,Seattle Mariners,SEA,672284,7/16/1999,6-1,204,L/R,2018,"Draft - Round 1, NYM","2018 Draft - Round 1, NYM",2023,OF,AA,Joe Doyle,60,70,60 OFP 70 Role,Impact Player; Perennial All Star,Low,2021,60Hit 60Power 55Field 60Arm 55Run,,,,,,,,,,,,,,,60,60,55,60,55,"Strong, sturdy, muscled build. Thick lower half, broad shoulders and barrel chested. Physique is matured and optimized. Shows good power and speed in impressive athletic package. Explosive, fluid movements. Unmatched competitive drive with extreme personal expectations. Has yet to face extended adversity in performance.",Loud tools across the board. Should be a no doubt middle of the lineup bat. Asset on the basepaths and should make some highlight plays in the outfield. Only item left unchecked is how he'll respond to adversity and prolonged slump. Unrelenting desire for greatness suggests he'll be fine. Impact player profile here.,"Slightly open stance with even weight and balance distribution throughout entire operation. Slightly crouched with moderately wide base. Incredibly short to the ball with impressive bat speed. Body movements are synced up and fluid from load through through contact. Head is still. Keeps weight back on all pitches. Finds plenty of barrels in all four quadrants. Attacks velocity at the top of the zone with ease. Mature approach, will take his walks while demonstrating advanced pitch recognition. Can be susceptible to breaking balls from RHP at his back foot and plus breaking stuff away from lefties. Future plus hitter that will play at the top or middle of any lineup.",Optimized kinetic chain through his swing. Shortness to ball allows for big extension and strength out front. Swing plane is geared to drive the ball through the air without selling out for fly balls. Impressive strength in his legs and core help produce big exit velos for his size. Easy plus pull-side power with the ability to drive the occasional fastball over the opposite field wall as well. Middle of the order impact power that he gets to in-game,"Above average defender with impressive instincts and effort/hustle; strong routes and reactions in the outfield; good range in center, may be forced into a corner if the body slows down - should be able to stick in centerfield into him prime. Ranges to his left and to his right; tracks the ball well back to infield; fluid motions and could dissolve if he puts on too much more muscle mass. Reliable, above average defender in center, likely a plus defender in either corner.","Shows very good arm strength, throws line drives into the infield and to home that lack much tail or extra carry. One of the quicker catch-to-release mechanics I have seen. Incredibly quick to get rid of the ball. Capable of gunning down an advancing runner. A definitive asset in centerfield, would fit well in right field",Above average runner that uses instincts in the field and on the basepaths to get the most out of his speed. Will be a base-stealing threat and will certainly try to take the extra base. Hit & power tools should allow him a very strong chance at being a 20-20 guy at big league level. Achieved such feat in 2019.,,,,,,,,,,,,,,Ek7Nb6tPOCg,,,,http://www.milb.com/images/672284/generic/180x270/672284.jpg
Julio Rodriguez,2,Seattle Mariners,SEA,677594,12/29/2000,6-3,215,R/R,2017,IFA,2017 IFA,2022,OF,A+,Isaiah Burrows,60,70,60 OFP 70 Role,Impact Player; Perennial All Star,Moderate,2022,60Hit 60Power 45Field 60Arm 50Run,,,,,,,,,,,,,,,60,60,45,60,50,"Physically matured. Intimidating presence in the box with large arms, broad shoulders and strong lower-half. Sturdy build and athletic frame. Matured his body building lean muscle this past year. Good work ethic, spends countless hours in the cages improving his swing. Genuine belief he and those around him are destined for greatness. Plays a fun brand of baseball. Student of the game, soaks in advice from hitting coaches and teammates. Solid makeup and character.","Since signing as an international amateur free agent with the Mariners in 2017-18, Julio Rodriguez is recognized as one of the most intriguing prospects in baseball. His athletic profile produces consistent triple-digit exit velocities and supreme raw power. His strong arm bodes well to his future in any outfield spot, which makes up for his lack of speed. Rodriguez still needs time to develop complete understanding as a hitter. Maybe the most enticing bat in minor league ball.","Right-handed hit tool that produces consistent hard contact. Consistent barrels. Sound approach to all fields, still a bit more pull-heavy at the moment. Patient approach that works the count with tremendous patience. Hard line-drive outs to the outfield, not many soft ground balls. Impact bat.","Raw, tantalizing power. Bat just sounds different. Jumps on mistakes in the zone with extreme exit velocities. Drives the ball to the gaps for extra bases. Doesn't need much effort to produce home run power. Makes the most of his physical tools, strong upper and lower half stay connected in his swing to drive balls over the fence. Loud power, especially pull-side. Impressive package and work ethic translates to plus-power. Maybe double-plus raw.","Average fielder with good instincts and play on the ball. Lack of speed and athleticism catches up to him at times. Hard-hit balls sail over his head due to bad routes. Hustles to the ball, his frame and size could play all three outfield positions. His strong arm tends to lean to right or center field. More room for improvement as he gets consistent reps at one spot.","Strong, cannon arm that makes throws from every spot in the outfield. Guns down runners reaching for second from the corners. Throws one-hop to home plate from center. Good arm strength to get the ball out quickly. Ball stays low and lacks tail with accuracy and precision. Makes the smart play. Hits the cut-off man when needed. Plus-arm that plays well in the outfield.","Speed is a good for now, but should regress as he ages. Lacks quickness and burst out of the box or in the field. Has long strides, just a bit bulky. Doesn't lumber, Tons of hustle. Aggressive approach to steal an occasional bag. Good instincts on the base paths.",,,,,,,,,,,,,,NHfYfXhd3cM,BGYch7ERz6E,dfMqPLNu5ow,N237juBkQhU,http://www.milb.com/images/677594/generic/180x270/677594.jpg
Logan Gilbert,3,Seattle Mariners,SEA,669302,5/5/1997,6-6,225,R/R,2018,Draft - Round 1,2018 Draft - Round 1,2022,RHP,AA,Nick Stillman,55,60,55 OFP 60 Role,#3 SP,Low,2022,60FB 55CB 50SL 55CH 55Control 55Command,60,,55,50,55,,,,,,,55,55,55/55,,,,,,"At 6' 6"", Gilbert has a lanky frame. His weight is evenly distributed throughout his wiry arms and legs, with only modest room for muscle growth. Average athleticism. A cerebral pitcher, Gilbert has a reputation for intense study and a drive for self-improvement. Mentally tough, Gilbert is rarely overwhelmed and will make adjustments inning to inning.","Gilbert pairs four average to plus big league pitches with elite extension and solid command. He has the tools to be a middle of the rotation starter and the competitive drive and slow heartbeat to maximize them to land in the top of the rotation. If the changeup develops, Gilbert's ceiling could be as a number two starter. If his stuff stagnates, he still has the current mix of tools and Baseball IQ to stick in the middle of a rotation.",,,,,,"His best pitch, Gilbert's four-seam fastball sits 92-95, t97 with plenty of ride. Fastball plays up as his extension allows him a late release, increasing perceived velocity and adding deception. Generates late life with modest armside run. Possesses above average command and can locate consistently at the top of the zone where it acts as a putaway pitch when paired with his secondary offerings.",,"Gilbert tosses an average curve that flashes above and sits in the mid 70s (74-77). A true 12-6 shape that is distinct from the slider with a spike grip, Gilbert deploys it to steal strikes and set up the high fastball. Early in counts he throws a slow, tumbling breaker that hitters give up on before it pops into the zone, while late in counts he'll throw a sharper breaker that bounces for swings, though it's not as effective as the slider. Shape and break were inconsistent in 2019, but the velo difference allowed Gilbert to freeze hitters even on hangers at the top of the zone. Pitch is most effective to tunnel with the high fastball as hitters had trouble distinguishing the two. Needs to increase consistency and maintain that late break as advanced competition will punish mistakes.","Sitting 82-85, Gilbert's best secondary is a hard, sweeping slider that has taken a step forward as a pro. It's now an above average pitch that flashes plus. He'll throw it to lefties and righties, burying it back-foot to lefties and off the plate to righties. Can throw it for strikes, but is most effective as a two-plane putaway breaker that tunnels with the fastball. Lacks consistency as it can lose shape inning to inning, blending into a hittable slurve. When he has feel, he misses plenty of bats and the pitch looked more consistent in brief looks in 2020.","Sitting 84-87, Gilbert has improved a fading, circle changeup that he throws with consistent arm speed. The pitch sits average with some late sink and fade, but he throws the occasional plus change that falls off the table, hinting at its potential. An underused pitch in 2019, Gilbert deployed it primarily to generate soft contact against lefties, but reports from 2020 intersquad are that changeup development was a focus for Gilbert, with positive early results. This pitch has the most potential to determine Gilbert's ceiling, as an above average or plus changeup will open up the rest of his arsenal and give him another weapon against left handed hitters",,,,,,,"Gilbert reaches back and slings the ball from a 3/4th slot, a result of his long levered, smooth delivery. There's little apparent effort and his frame and motion allows him elite extension (reportedly over seven and a half feet) as he gets down the mound and releases on top of hitters. Finishes slightly off balance, but is consistent and fluid with good hip separation.","A strike-thrower that fills the zone, Gilbert is currently control over command, but his ability to throw all four pitches in the zone keeps hitters guessing. At the big league level he'll need to refine his command to keep hitters off balance, but his easy, repeatable delivery signals at least above average command moving forward.",,,,,http://www.milb.com/images/669302/generic/180x270/669302.jpg
Emerson Hancock,4,Seattle Mariners,SEA,676106,5/31/1999,6-4,215,R/R,2020,Draft - Round 1,2020 Draft - Round 1,2024,RHP,R,Joe Doyle,55,60,55 OFP 60 Role,#3 SP,Moderate,2022,60FB 50CB 55SL 60CH 50Control 50Command,60,,50,55,60,,,,,,,50,50,50/50,,,,,,"Tall, strong righty with long arms and athletic build. Sloping, broad shoulders with a good track record of health.","At his best, Hancock has shown the ability to be a top of the rotation arm with big stuff across the board. When he's not right, he falls behind in counts and leaves fastballs over the heart of the plate. He'll live and die on fastball command, but if the consistency comes, he could be a top of the rotation horse.",,,,,,93-96/t98 with armside run and sink. Can change orientation to ride at top of the zone. Pitch seems to sometimes lack conviction. Hittable at times. Explosive potential is mechanics and consistency are refined. At it's best the fastball is 95-97/98 with late movement and deception.,,"Low-80s power breaker that wasn't thrown much in college simply because he didn't have to. When thrown, showed good depth and late bite. Average more often than not.","83-86 with tight break. Young pitcher who's still finding feels for optimized breaking ball and ability to throw for strikes. At it's best, the slider has an aggressive horizontal approach angle with late sweep and depth. Definitive out-pitch.","Difference maker. Lots of tumble and fade into righties. Shows good command for the pitch and excellent arm-speed. Deployed slider more often, but changeup more often than not flashed better. May be the second-best pro offering",,,,,,,"Extremely low arm slot with good extension coming from a low 3/4 arm slot. It's a short-arm action akin to that of someone like Max Scherzer. Mechanics are sound and safe. Hancock is quad dominant with good stride. Front side can fly open at times, but otherwise consistent mechanically.","Fastball command will be a big development emphasis. If spotted on corners, Hancock will be a very, very tough at-bat. Secondaries are all impressive and make for a good arsenal, thrown for strikes on most occasions.",,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Noelvi Marte,5,Seattle Mariners,SEA,682622,10/16/2001,6-2,205,R/R,2018,IFA,2018 IFA,2023,SS,DSL,Joe Doyle,55,60,55 OFP 60 Role,"Above Avg. Regular, Occasional All Star",High,2023,55Hit 60Power 50Field 60Arm 50Run,,,,,,,,,,,,,,,55,60,50,60,50,"Strong, sturdy, muscled build. Still growing. Long arms, high, broad shoulders and barrel chested. Physique is approaching full maturity. Impressive, explosive athletic package. Has added 30 pounds of muscle in last 18 months. Speed has diminished a full grade with added weight.","Very loud, projectable tools across the board. Marte still requires polish on the hit tool and on defense, but both aspects of his game have taken positive steps forward stateside. Still could potentially be a shortstop long-term, though that will likely be answered in the next calendar year. Bat projects best at third base where there stands the potential for an impact, middle of the order stick with all-star potential.","Slightly open stance with high hands and a slight bat waggle. Massive leg kick has been subdued a bit over the last year, but notable leg-kick still present. Pull-heavy at present. Good hip-shoulder separation. Ability to lay-off breaking balls and taking breaking balls the other way has improved. Struggles with offspeed, ambushes fastball. Impressive impact bat that is still immature and developing understanding of sequencing of pitches. Potential middle of the order slugging bat with good hit tool.","Big, strong body with added muscle caters to powerful swing. Hip-shoulder separation and bat path create good barrel velos. Some similarities to Manny Machado swing/bat profile. Already present plus pull-side power. Shows signs of opposite field impact as well. Still young, trajectory of impact middle-of-the-order bat.","Below average defender a year ago. Footwork and timing on the dirt have drastically improved. Arm accuracy now grades fringe average. Body is growing off of shortstop, may be forced to third base. Shows good lateral mobility and explosiveness. Hands are still a work in progress. Arm strength will play beautifully at third base.","Very strong arm. Accuracy has been an issue, though mostly a product of poor footwork and letting the game speed up on him. Has slowed things down a good bit at Summer Camp. Arm will play anywhere on the field, accuracy will dictate whether he can stick on the dirt. Projects best at third base","Previously a double-plus runner, has fallen into plus grade with added weight and mass. Still shows exceptional athleticism and will remain a plus runner for the foreseeable future. May regress into an average runner in his prime, but legs should be an asset on the basepaths for the next several years.",,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
George Kirby,6,Seattle Mariners,SEA,669923,2/4/1998,6-4,215,R/R,2019,Draft - Round 1,2019 Draft - Round 1,2023,RHP,A+,Alex Jensen,55,60,55 OFP 60 Role,#3 SP,Low,2022,60FB 55CB 55SL 55CH 70Control 60Command,60,,55,55,55,,,,,,,70,60,70/60,,,,,,"Long, lean and athletic 6'4 frame that has added some good weight since draft date. Prototype starters frame. Controls his body well and still has room to add 10-15 pounds of good weight. QB frame.","This is how you draw them up. Kirby flashes the ability to miss bats without giving up free bases and avoids mistake pitches. Hitters have to earn it. Prototype frame and added weight should be monumental for his durability. Floor is a backend starter, but if his secondaries can tick up we could be talking about a top-of-rotation guy. Not there yet, but has been trending in the right direction. Fun blend of floor and ceiling who has drawn rave reviews off of the field.",,,,,,"One of the better commanded pitches in baseball. Has sat 91-93 in the past but is now sitting 93-95. Was consistently touching 98-99 in instructs as he has added nearly 15 pounds since the draft. Finds and controls all quadrants of the zone. High usage pitch that is used as a tool to control counts. Good velocity, plus command and late movement help Kirby find the zone without finding barrels.",,"11-5 movement profile is thrown somewhat hard in the low 80's. Arm action doesn't stick out from other offerings and he repeats the pitch well. Not a dynamic chase pitch yet, but he throws it with confidence and finds the zone. Hitters looking fastball are unable to adjust until it's too late. Main weapon used against lefties. Plays above it's grade due to plus command of the pitch.","The more volatile of his breaking pitches. Thrown in the mid to high 80's with sharp bite when it's on, the slider will flash plus and is especially dangerous against righties. He seems less confident with the slider than his curve and command is game to game. Will scrap pitch completely in starts where command of the pitch isn't there for him. Has a chance to develop into his best secondary in time, but command is currently too inconsistent.","Still gaining confidence in his least used pitch. Mimics fastball arm speed and action well. Shows flashes of plus sink and good depth when it's on and keeps solid 8-10 mph velocity separation when it's working. Throws strikes with it, but command isn't as consistent as his fastball, but likely will come with reps. Plus pitch ceiling, but still developing currently.",,,,,,,"Clean, repeatable arm action with an uncanny ability to find consistency with his release point. Length of levers and frame leads to huge extension. Low release height thanks to extension and arm slot. Above average to plus arm speed comes with slight effort but head stays steady. Clean and repeatable with almost surgical precision. Slight rocker step leads into windup with natural delivery and tempo. Torque and shoulder rotation stand out. Easy to see velo projection as he continues to add good weight.","Some of the best control/command in the entire minors and perhaps even in baseball. If command of his secondaries improves to near his fastball level, we could be talking about Bieber level command here. Gives him an incredibly high floor as a starter without sacrificing ceiling.",,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Brandon Williamson,7,Seattle Mariners,SEA,682227,4/2/1998,6-6,210,L/L,2019,Draft - Round 2,2019 Draft - Round 2,2023,LHP,R,Isaiah Burrows,50,50,50 OFP 50 Role,#4/5 Backend SP,High,2022,55FB 55CB 50SL 40CH 50Control 45Command,55,,55,50,40,,,,,,,50,45,50/45,,,,,,"Long, lanky and slender build. Solid upper half, a bit thinner lower half. Tall frame, but has a slight muscular build with broad shoulders and strong legs. Overall compact frame due to his size and length, chance to add more girth to his lower half.","Williamson's stuff is eye-popping at times. His fastball has late movement and the type of zip you want to see from a lanky left-hander. His curveball is a great complimentary off-speed pitch to counter the heat with great drop and break out of the zone. His slider and changeup need improvement, but he has the makings of a solid MLB starter if his intriguing arsenal comes together.",,,,,,"Mid-to-high 90s offering that forces a ton of whiffs. Long, wiry frame allows him to get good velocity with late rising action toward the top of the zone. Very effective pitch, electric coming out of his hands. Quick to the plate, and it zips by opposing batters. Gets ahead of the count with the fastball, and utilizes it as a strikeout pitch at times.",,"Mid-70s offering that looks to be his best off-speed pitch. Plenty of depth and break that pairs well with his velocity-packed fastball. Good drop and break out of the zone to force swings and misses. Looks comfortable throwing it from the windup or the stretch, and the result stays the same. Solid off-speed pitch that finishes off hitters with late bite.","Another off-speed pitch with solid break, though not as refined as his curveball. Low-to-mid-80s in velocity, good dive at the end to force whiffs. Not thrown as much, still needs improvement as a consistent third pitch. Can be left hanging over the zone or thrown in the dirt at times. Still has the makings of another hard off-speed pitching with more time.","Work in progress as he develops on the farm. Dip in velocity to the fastball, but a bit flat. Not much spin or deception to it, just a bit of a ""hanger"" at the moment. Rarely thrown, but more confidence and effort has been made to improve it. Can develop into a solid fourth pitch, but for now it's a bit lacking.",,,,,,,"Quick and fluid arm action that goes off without a hitch. Controlled follow through after each pitch. Don't see much effort in his delivery, pretty smooth throughout each pitch. Comfortable keeping the same motion, gets the pitch off in the stretch. Tight and compact. Great extension with each pitch due to his length, let's him tick in velocity. Short, compact delivery that he repeats well. Windup looks a bit slow from a distance, but the ball explodes to the plate. Seems very comfortable from the stretch, delivery shortens up and is quick to get there. Very little effort to reach his peak velocity, as well as optimum break for off-speed pitches. Compact and repeated delivery.","Struggles at times to find his spot consistently. Fastball flies over the head of the catcher, curveball/slider bounce in the dirt occasionally. Has improved in picking his spots to attack hitters in the zone. Signs of improvement, but more needs to happen.",juw88gHsAGI,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Sam Carlson,8,Seattle Mariners,SEA,672277,12/3/1998,6-3,210,R/R,2017,Draft - Round 2,2017 Draft - Round 2,2022,RHP,AZL,Joe Doyle,50,50,50 OFP 50 Role,#4/5 Backend SP,High,2022,55FB 50CB 60CH 55Control 50Command,55,,50,,60,,,,,,,55,50,55/50,,,,,,"Tall, strong, athletic build with especially strong lower half. Shoulders are well-developed and tall. Shows above average athleticism for the position, two-way guy as recent as 2018. Physical projection mostly capped.","For a guy that's missed over two full years of baseball, Carlson still has plenty of intrigue surrounding his profile. Still displays a very quick arm, sound mechanics and competitive fire. Physical characteristics are now prototype. Very real upside. Modest chance to reach #3 ceiling, though more than likely a no. 4. Health will be paramount... potential for accelerated development.",,,,,,92-95/t96 with good riding life up in the zone and some arm-side run. Spots well low and away. Definite out-pitch potential up in the zone.,,Not a pitch he's deployed much of late in bullpens. Still lacks conviction of two primary offerings. Shows 11-5 break with good 2-plane break. Command is average. Arm action and release point must improve if it's to reach a bigger ceiling. Fringy right now. Pitch shape and command should lend well to future projection.,,"83-85 - Definitely a plus offering. Impressive arm speed for player with his lack of experience. Very good separation off the fastball with similar tunneling characteristics. Late fade and tumble which he commands well, especially on right-handed batters backfoot. Has shown a tendency to overthrow and spike at times. Pitch lives at the bottom of the zone.",,,,,,,"Very good arm speed w/over-the-top delivery. Exceptional deception as ball releases from behind his ear. Hand-break is late with medium arm length. High, aggressive leg kick is well-balanced and leads to big hip drive. Good extension with no energy leakage in lead leg block. No contralateral tilt, though does fall off at times when front side flies open.",Command remains strong for a guy who's missed so much time. Spots the fastball and changeup quite well. Curveball is a work-in-progress though shows signs of being a big league offering. Walks shouldn't be an excessive issue.,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Taylor Trammell,9,Seattle Mariners,SEA,666211,9/13/1997,6-2,215,L/R,2016,"Draft - Round 1, CIN","2016 Draft - Round 1, CIN",2023,OF,AA,Isaiah Burrows,50,50,50 OFP 50 Role,Average Everyday Regular,Moderate,2021,55Hit 40Power 60Field 40Arm 55Run,,,,,,,,,,,,,,,55,40,60,40,55,"Strong, well-built frame with muscular upper-half and strong lower-half. Good height and weight for his position. Athletic profile with broad shoulders. Nothing more to fill out, near full maturity. Fast and athletic on both sides, has a good work ethic. Hustles to first base on groundouts and makes the extra effort on multiple occasions.","Heading into his fifth professional season with his third team, Taylor Trammell is more of a finished product knocking on the door of his MLB debut. His solid hit tool and ability to reach base are his best attributes he's built upon in the minors. Trammell has the physical tools and profile to tap into more power, but he's more gap-oriented than pure pop. His minor swing adjustments with the Padres organization showcased more power last season, but he may not reach his ceiling of 20-plus homers in a season. With his plus-speed and patient approach, he fits the profile of a center fielder, but his lackluster arm may lean more toward left field. After a disappointing 2019 season, it will be interesting to see if Tramell continues his power surge at the plate, and he's likely to reach the big leagues by 2021.","Above-average hit tool with loud contact to right field, more of a pull-heavy approach currently. Finds his pitch and drives it to the gaps in right-center. Quick hands and bat speed, turns on hangers in the zone. Misses or makes soft contact at off-speed pitches away, gets him out of his comfort zone at times. Minor right leg lift in his stance, lets his hands and upper-body strength do most of the work. Solid approach and bat speed helps him make the most of his physical tools.","Solid hit tool, but power still leaves a bit to be desired. Has showcased home run power, more gap power is present. Gets the ball in the air on occasion, and drives the ball deep to right field when he gets a hold of one. Needs to be more selectively aggressive deep in the count to maximize power. Has the work ethic and physical tools to increase his pop. Showed improved power last season in Amarillo, and has the ability to reach double-digit homers at the next level. Still fits the profile of a contact-oriented hitter","Has the makings of an above-average defender with his speed and instincts. Athleticism helps him get a good jump on the ball. Smooth and crisp routes to track the ball in the outfield. Good awareness in key situations, seems to make the right play in any given moment. Few glimpses of some uncommon mistakes and mental errors last season, but solid outfield presence.","Lacks the arm strength and accuracy in left and center field. Throws are off target and struggles to reach home plate from either position. His arm is a significant weakness. Opposing runners test him in the outfield by advancing a base. Arm strength and accuracy concerns makes his future in center field uncertain, may lean more toward left field.","Good speed across the board, major threat as soon as he reaches base. Long, gazelle-like strides and immediate bursts out of the box. Great quickness and jump, but also selectively aggressive stealing a bag. Very smart base stealer, picks his time to go and rarely gets caught. Advances bases and scores on sacrifice flies with ease. Stretches routine doubles into triples. Combined with his knack for walks and getting on base, he's a constant pest for opposing pitchers.",,,,,,,,,,,,,,VK9vkvq9SxI,3xdreSzMEgg,B-QInvtsgYY,,http://www.milb.com/images/666211/generic/180x270/666211.jpg
Juan Then,10,Seattle Mariners,SEA,672730,2/7/2000,6-1,185,R/R,2016,IFA,2016 IFA,2020,RHP,A,Isaiah Burrows,50,50,50 OFP 50 Role,#4/5 Backend SP,Moderate,2022,60FB 50SL 45CH 50Control 45Command,60,,,50,45,,,,,,,50,45,50/45,,,,,,"Small and bulky frame, more room for growth and added muscle. Strong build with short arms with stocky legs. Lower half looks a bit more filled out than his upper body at the moment. Good composure on the mound, doesn't get rattled in tense situations. Calm and collected, credited for his work ethic this past summer.","In his second stint with the Mariners organization, Then has shown flashes of steady improvement dating back to 2019 coupled with his progress at Seattle's alternate training site. His fastball continues to tick upward in velocity, making it an effective offering with the late life it has towards the top of the zone. Then's slider is thrown with break at both sides of the plate that plays well off his heater, and his changeup has shown signs of being a plus pitch as it develops. He fills up the zone with good command and control for a pitcher his size and age. Then is an intriguing prospect to keep an eye on as he continues to develop.",,,,,,"Consistent mid-90s offering with late ride towards the top of the zone. Ball comes out explosive and a bit of late bite forces whiffs. Catches opposing batters off guard as it zips to the plate. Fastball keeps improving as velocity continues to rise, reportedly reaching 99 mph at Seattle's alternate training site. Effective pitch with plenty of velocity and good movement .",,,"Low-to-mid-80s pitch with break at both sides of the plate. Throws it hard with good movement and spin to break out of the zone. Keeps it low at the knees, but it tends to hang over the zone a bit at times. Solid off-speed pitch in two-strike counts, plays it off his fastball very well. Solid pitch that could develop over time.","Third and final off-speed offering that looks to be in the developmental stages. Rarely in any count, tends to stick with fastball-slider combination. Shows flashes of becoming a plus pitch with late bite and dip in velocity. Pitch tends to stay flat and up in the zone. Still a work in progress.",,,,,,,"Short and loose arm action. Good extension and follow through on each pitch. Grips the ball and slings it to the plate with authority, right arm reaches his waist before it explodes out of his hand. Looks comfortable from the windup and stretch, arm action doesn't change in either scenario. Three-quarter arm slot delivery that plays well within his delivery. Consistent and repeated mechanics majority of the time, baseball comes out a bit funky at times. Overall good approach and delivery for a pitcher his size.","Good command for a pitcher his size and age. Pitches with confidence and composure, fills up the zone. Has a tendency to get ahead of the count and finish batters off quickly. Command struggles a bit as the at-bat lasts longer. Throws his fastball and slider in any count, and hits his target a good amount. May get a bit wild at times, but shakes it off and battles back in the count. Shows growth and maturity with each start.",,,,,http://www.milb.com/images/672730/generic/180x270/672730.jpg
